genre_name,tracks_count,avg_tempo,avg_energy
drum and bass,417,173.92,82.01
dub,153,167.42,82.26
funk,328,166.36,83.4
dancehall,93,164.16,80.01
soul,459,163.76,80.54
reggae,452,163.16,81.29
hip-hop,693,161.43,83.01
electronic,1310,160.99,83.82
electro,52,160.67,84.79
comedy,93,159.9,81.46
latin,54,159.83,83.0
swing,77,159.51,82.22
emo rap,120,159.48,80.8
hip hop,15087,159.13,81.57
rap,1294,159.12,80.63
j-pop,60,158.97,82.83
dance,243,158.75,83.08
christian,68,158.63,83.4
jazz,852,158.6,80.44
pop,3077,158.39,82.19
