genre_name,genre_rank,Artist(s),song,Popularity,Danceability
acoustic,1,dandelion hands,It's You,77,41.0
acoustic,2,Take Care,Think Of Me,74,21.0
acoustic,3,dandelion hands,How To Never Stop Being Sad,73,41.0
alt-country,1,Mumford & Sons,Believe,70,49.0
alt-country,2,Mumford & Sons,Forever,70,49.0
alt-country,3,Mumford & Sons,Ngamila,70,49.0
alternative,1,Lana Del Rey,Yes To Heaven,88,49.0
alternative,2,Lana Del Rey,Young And Beautiful,87,32.0
alternative,3,Foster The People,After The Ball,86,73.0
alternative rock,1,Teddy Swims,Come ye disconsolate,91,56.0
alternative rock,2,Teddy Swims,Celebrate,91,56.0
alternative rock,3,Arctic Monkeys,-,91,46.0
ambient,1,Cigarettes After Sex,Cry,83,41.0
ambient,2,Sufjan Stevens,Sleeping Bear Sault Saint Marie,79,44.0
ambient,3,Sufjan Stevens,Back to Oz,79,44.0
black metal,1,Justin Bieber,This Dream Is Too Good,89,60.0
black metal,2,Justin Bieber,Madly In Love (Bigger Than Life),89,60.0
black metal,3,Justin Bieber,Love Yourself,86,61.0
blues,1,Hozier,Problem BBC Radio 1 Live Lounge,89,74.0
blues,2,Hozier,Nina Cried Power Live From Dublin Academy,89,74.0
blues,3,Hozier,My Lagan Love,88,74.0
britpop,1,Tears For Fears,Everybody Wants To Rule The World,89,64.0
britpop,2,Tears For Fears,No No No,87,64.0
britpop,3,Tears For Fears,The Big Chair,87,64.0
chillout,1,Øneheart,Bad Attitudes,71,18.0
chillout,2,Øneheart,Perestroika,71,18.0
chillout,3,Øneheart,Gorbachev,71,18.0
chillwave,1,SZA,Passport,90,41.0
chillwave,2,SZA,The Weekend Funk Wav Remix,90,41.0
chillwave,3,SZA,The Other Side,90,41.0
christian,1,Lauren Daigle,Rescue Soul,74,29.0
christian,2,Lauren Daigle,OLord,73,49.0
christian,3,Lauren Daigle,Look Up Child,72,49.0
classic rock,1,Creedence Clearwater Revival,Sweet Home Alabama,89,74.0
classic rock,2,Creedence Clearwater Revival,Feeling Blue,89,74.0
classic rock,3,Creedence Clearwater Revival,Looking For A Reason,89,74.0
classical,1,Billy Joel,An Innocent Man,84,70.0
classical,2,Billy Joel,Rockin' In The Free World,84,70.0
classical,3,Billy Joel,Uptown Girl,84,70.0
cloud rap,1,Ruth B.,Safe Haven,86,61.0
cloud rap,2,Ruth B.,Dandelions,86,61.0
cloud rap,3,Lil Uzi Vert,Old Niggas Hatin,82,77.0
comedy,1,Carl Douglas,Kung Fu,72,62.0
comedy,2,Carl Douglas,ASIAN KUNG-FU GENERATION - Love song of new century English Translation,71,62.0
comedy,3,Carl Douglas,Kung Fu Fighting,71,62.0
country,1,Taylor Swift,This Is Really Happening,93,55.0
country,2,Taylor Swift,Formula 1 2016 Setlist,93,55.0
country,3,Taylor Swift,Fearless Tour Setlist,92,55.0
dance,1,Rihanna,Love On The Run,87,51.0
dance,2,Chris Brown,Hang All The Mistletoe,87,41.0
dance,3,Chris Brown,Holding On,87,41.0
dancehall,1,Tory Lanez,Look No Further,84,64.0
dancehall,2,Tory Lanez,Out Of Center,84,64.0
dancehall,3,Tory Lanez,Accidents Happen,84,64.0
death metal,1,Nickelback,Just Mine!,85,45.0
death metal,2,Nickelback,A Promise Fufilled,85,45.0
death metal,3,Nickelback,Truck,85,45.0
deathcore,1,Slaughter to Prevail,Demolisher,61,21.0
deathcore,2,Slaughter to Prevail,Baba Yaga Romanized Lyrics,59,25.0
deathcore,3,Emmure,E,57,51.0
disco,1,Justin Timberlake,Why When How,86,69.0
disco,2,Justin Timberlake,Good Foot,86,69.0
disco,3,Justin Timberlake,Am I Worthy Of,86,69.0
doom metal,1,Type O Negative,Life Is Killing Me,69,47.0
doom metal,2,Type O Negative,I Dont Wanna Be Me,69,47.0
doom metal,3,Type O Negative,Untitled Intro,69,47.0
dream pop,1,Grouper,Poison Tree,76,22.0
dream pop,2,Chromatics,Just Like You,75,67.0
dream pop,3,Chromatics,Girls Just Wanna Have Some,75,67.0
drum and bass,1,PinkPantheress,Tell Me Where You Are,82,83.0
drum and bass,2,PinkPantheress,Met You,82,83.0
drum and bass,3,PinkPantheress,Pain,82,83.0
dub,1,Bruno Major,To Let a Good Thing Die,72,56.0
dub,2,Bruno Major,Nothing,72,56.0
dub,3,UB40,Hurry Come On Up,71,96.0
dubstep,1,The Living Tombstone,My Ordinary Life,72,65.0
dubstep,2,The Living Tombstone,Gameboy Advance SP Blue Edition Oney Plays,72,65.0
dubstep,3,The Living Tombstone,Temporary Love - Vylet Cannicore Mix,72,65.0
electro,1,Aqua,Barbie Girl,76,81.0
electro,2,Vengaboys,Boom Boom Boom,76,80.0
electro,3,Alice Deejay,Better Off Alone,76,67.0
electronic,1,Billie Eilish,H.M.T,100,75.0
electronic,2,Billie Eilish,So So,99,75.0
electronic,3,Billie Eilish,Slipping Away Original Mix,99,75.0
electropop,1,Billie Eilish,H.M.T,100,75.0
electropop,2,Billie Eilish,So So,99,75.0
electropop,3,Billie Eilish,Slipping Away Original Mix,99,75.0
emo,1,Jimmy Eat World,Stuck in the Middle,83,64.0
emo,2,Jimmy Eat World,Bleed American,82,64.0
emo,3,Jimmy Eat World,Jimmy,82,64.0
emo rap,1,The Kid LAROI,25 To Life,88,48.0
