Album,tracks_count,avg_popularity,max_popularity
Not Like Us,17,97.0,97
HIT ME HARD AND SOFT,48,90.15,100
"I Ain’t Worried (Music From The Motion Picture \"Top Gun: Maverick\")",6,87.33,90
Stick Season,6,87.17,90
Harry's House,7,86.57,92
THE FIRST TIME,62,86.5,88
Young And Beautiful,13,85.31,87
Lovin On Me,18,84.89,85
Espresso,7,84.86,99
Say Yes To Heaven,6,84.83,88
eternal sunshine,23,84.74,90
Meteora,12,84.58,88
american dream,66,84.5,86
Bigger Than Both Of Us,5,83.8,84
One of Wun,10,83.6,85
Endless Summer Vacation,20,83.4,94
Whatever She Wants,42,83.29,84
a Gift & a Curse,12,83.25,87
Paint The Town Red,7,83.14,90
Sundress,20,83.0,85
