release_year,year_rank,Artist(s),song,Popularity,length_seconds
1899,1,The Bobbettes,Mr. Lee,30,134
1900,1,Wailing Souls,Jah Jah Give Us Life,53,232
1903,1,Billy Murray,The Grand Old Rag,10,166
1904,1,John McCormack,Theres a Long Long Trail,12,200
1905,1,Admiral Tibet,Serious Time Remix,33,195
1913,1,Al Jolson,April Showers,21,186
1916,1,Marion Harris,After Youve Gone,11,197
1920,1,Sparky,Judas outro,61,206
1921,1,James P. Johnson,Charleston,32,154
1922,1,"Lizzie Miles,Sharkey & His of Dixieland",A good man is hard to find,16,168
1924,1,Ma Rainey,Prove It on Me Blues,14,165
1925,1,Charlie Poole,Milwaukee Blues,26,190
1926,1,Blind Lemon Jefferson,Black Snake Moan,27,170
1927,1,Henry Thomas,Bull-Doze Blues,30,205
1928,1,Tampa Red,It Hurts Me Too,20,153
1929,1,Charley Patton,Down the Dirt Road Blues,28,174
1930,1,Bo Carter,All Around Man,27,180
1931,1,The Delmore Brothers,Blues Stay Away From Me,29,169
1932,1,Flanagan & Allen,Run Rabbit Junk,44,164
1933,1,Hoagy Carmichael,Ole Buttermilk Sky,20,132
1935,1,"Kay Kyser & His Orchestra,Harry Babbitt",Jingle Jangle Jingle,48,201
1938,1,Roy Rogers,Dont Fence Me In,33,172
1939,1,Judy Garland,Over The Rainbow,52,165
1940,1,Dinah Shore,Buttons And Bows,24,121
1941,1,Burl Ives,Blue Tail Fly,9,168
1942,1,"Stéphane Grappelli,Django Reinhardt,Quintette du Hot Club de France",Giant,30,173
1943,1,Slim Gaillard,Atomic Cocktail,36,161
1944,1,Judy Garland,You Do Something To Me,59,162
1945,1,"Bing Crosby,The Andrews Sisters",Mele Kalikimaka,63,175
1946,1,"Ethel Merman,Ray Middleton,William O'Neal,Marty May",Theres No Business Like Show Business Annie Get Your Gun,23,191
1947,1,Hoagy Carmichael,Stardust,45,146
1948,1,Peggy Lee,Why Dont You Do Right Get Me Some Money Too,48,148
1949,1,"Doris Day,John Rarig,The Mellomen",Im Confessin That I Love You,39,163
1950,1,Ella Fitzgerald,Ive Got A Crush On You,55,196
1951,1,"Hank Williams,Drifting Cowboys",I Saw The Light,49,166
1952,1,Louis Armstrong,Drake,69,203
1953,1,Hank Williams,(I'm Praying For The Day) PEACE WILL COME,59,176
1954,1,Nat King Cole,Unforgettable,67,191
1955,1,Bill Haley & His Comets,See You Later Alligator,63,129
1956,1,Frank Sinatra,Don't Bring Lulu (feat. Jack Carson),68,223
1957,1,Billie Holiday,I'll Be Seeing You,69,211
1958,1,"Johnny Cash,The Tennessee Two",I Walk The Line,68,163
1959,1,Chuck Berry,Old Time Rock N Roll,79,161
1960,1,Etta James,A Sunday Kind Of Love,74,196
1961,1,Elvis Presley,Blue Hawaii,79,182
1962,1,Roy Orbison,Oh Pretty Woman,80,178
1963,1,The Beatles,Please Please Me,78,155
1964,1,The Ronettes,Be My Baby,78,160
1965,1,The Temptations,My Girl,82,165
1966,1,The Rolling Stones,Pain,83,202
1967,1,Van Morrison,Brown Eyed Girl,85,183
1968,1,Otis Redding,Muskrat,84,163
1969,1,The Beatles,Here Comes The Sun,86,185
1970,1,Creedence Clearwater Revival,Feeling Blue,89,160
1971,1,Bill Withers,Ain't No Sunshine,86,125
1972,1,Elton John,Going Long,82,281
1973,1,Aerosmith,Ain't Enough,84,267
1974,1,Lynyrd Skynyrd,Alabama Sky,83,283
1975,1,"Elton John,Kiki Dee",Don't Go Breaking My Heart,83,275
1976,1,Daryl Hall & John Oates,Bridges,84,142
1977,1,Fleetwood Mac,Beamer Bad Boys,86,257
1978,1,Queen,Don't Stop Me Now,85,209
1979,1,AC/DC,Highway to Hell,86,208
1980,1,AC/DC,Bobby  Rowdy,86,210
1981,1,Journey,Jo,87,249
1982,1,TOTO,Africa,86,295
1983,1,The Police,Every Breath You Take,87,253
1984,1,Bruce Springsteen,Derelicts,84,241
1985,1,Tears For Fears,Everybody Wants To Rule The World,89,251
1986,1,Bon Jovi,Life's Too Short For Days Like These,88,249
1987,1,Guns N' Roses,Dust In The Wind,88,356
1988,1,Tracy Chapman,3000 Miles,81,296
1989,1,Nirvana,About A Girl,81,168
1990,1,AC/DC,The Razors Edge,86,292
1991,1,Red Hot Chili Peppers,76-8,84,264
1992,1,Rage Against The Machine,Hey,82,313
1993,1,Radiohead,Big Boots,88,238
1994,1,Green Day,Get Over It,84,181
1995,1,"Coolio,L.V.",C u when u get there,86,240
1996,1,The Cardigans,Love,81,193
