song_id,Key,Tempo,Loudness (db),Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving
5e74982b0edd107a0e17fe01c38d9b1d6f50f7115cba3036711f0f04af67df86,A min,126.0,-3.95,63.0,92.0,82.0,6.0,7.0,7.0,0.0,1,0,0,1,0,0,0
f4d7e5a11ede7fb114757bd5a6e8a5a4d7b635574fbe7667169606c727e704c5,C Maj,136.0,-4.18,80.0,57.0,60.0,5.0,26.0,9.0,0.0,1,0,0,1,0,0,0
a2ed7d8aab6eeafd54cbfaf7c9486ea92f0f068dc35954dfde0c2a3431b2e96f,F Maj,169.0,-5.9,82.0,55.0,96.0,5.0,48.0,1.0,0.0,1,0,0,1,1,0,0
2db50042679f6bf53fe20030bb787b94ca2a3cbdafd34ba40b2ef80a13ab64ae,C Maj,127.0,-4.9,84.0,70.0,27.0,27.0,66.0,14.0,0.0,1,0,0,1,0,0,0
2217e97b5e92ab56c970414298e77e8a77edba418c35e090147171402a4e8d33,D min,140.0,-3.41,85.0,56.0,37.0,3.0,11.0,10.0,0.0,1,0,0,1,0,0,0
0d521188541841252d2ac489be61e9ed20aeee0eec8a9cfb5fa87bc56efc8425,B min,130.0,-9.51,70.0,75.0,89.0,5.0,10.0,0.0,50.0,1,0,0,1,0,0,0
3e7158a457083f104574e66d2dde792024971a7564bed6d242eb12cc19faf2f6,C# min,125.0,-11.37,62.0,72.0,83.0,6.0,13.0,40.0,0.0,1,0,0,1,0,0,0
61710120f572f8f1cf6ec112dedcdd9b4481ede2dbf072e7e02406f67dc7dc6f,D# Maj,145.0,-9.83,68.0,63.0,6.0,6.0,36.0,2.0,14.0,1,0,0,1,0,0,0
a373074e74c20445a95511e6c7768e6e5115d62fc7ad53ddec006565564d9196,C# Maj,137.0,-6.0,86.0,66.0,71.0,11.0,9.0,18.0,0.0,1,0,0,1,0,0,0
70ae706774fe7ab3ef12ae080c103525ec57e41c119588b3fdd032bd1018e21c,F min,126.0,-3.78,89.0,60.0,40.0,8.0,26.0,0.0,0.0,1,0,0,1,0,0,0
0cb07fc0594db6de02d3bbb67a6260ae712057009274ea452bd63c379b115456,A# min,160.0,-3.65,73.0,61.0,58.0,12.0,27.0,1.0,0.0,1,0,0,1,1,0,0
a7637e42732c651f2c398ed8094577e73fdbea46228c240fbb0053285ad899b3,D Maj,131.0,-4.93,94.0,52.0,49.0,4.0,33.0,5.0,0.0,1,0,0,1,0,0,0
2795866413146d480bfdbd1e550a8bc0012fbae999dd152b4e17e1ee88195160,G Maj,134.0,-8.96,64.0,63.0,81.0,3.0,22.0,40.0,0.0,1,0,0,1,0,0,0
1c69c05cb5a744b3030f178ea5c9f424502024921a0701a48e043ac719912723,G# min,156.0,-6.94,64.0,72.0,47.0,22.0,12.0,9.0,0.0,1,0,0,1,0,0,0
325037511082cf60930de8fc9482da9351dc27c61f094d5e7cba542603d4df86,D Maj,124.0,-5.7,78.0,53.0,64.0,5.0,16.0,0.0,0.0,1,0,0,1,0,0,0
a564491a8d38ac7f3382b77099c3ce3647c811426f6b9da8805c60d5483a81da,E min,133.0,-4.0,72.0,58.0,51.0,35.0,7.0,37.0,0.0,1,0,0,1,0,0,0
0614f52737f8151134b187de515017a0c2d067bdd70bfb64d85f5ba087af4aaf,A Maj,126.0,-4.81,96.0,72.0,91.0,5.0,28.0,9.0,61.0,1,0,0,1,0,0,0
d4c16a4c719762fe9cfdeee1b21a6e24ea0804b73527b05f5cc18d7b22f93304,F Maj,134.0,-8.06,83.0,56.0,59.0,4.0,33.0,11.0,3.0,1,0,0,1,0,0,0
eff8e624b1f0bbbd1ed5197d4bdfb8c2022c6b356cc83a0fc64f360b28dd8272,G Maj,180.0,-5.61,66.0,79.0,92.0,6.0,13.0,11.0,0.0,1,0,0,1,0,0,0
67afee1dba00df85db37dcd91a94815d34f86701c8865774f4ef40ca7f72219c,B min,126.0,-3.75,89.0,81.0,54.0,3.0,37.0,5.0,0.0,1,0,0,1,0,0,0
312ba966b0a67e8ceeaf1c707d4992967c2aee32b33f435c732cf0bede687c62,G min,126.0,-8.91,64.0,70.0,71.0,3.0,10.0,46.0,18.0,1,0,0,1,0,0,0
30fbb688c7f2c9a6ee699be68ae983ac4d6f4a5565241c46771697361cbd65dd,C min,125.0,-13.62,66.0,90.0,55.0,41.0,29.0,25.0,0.0,1,0,0,1,0,0,0
75127280cff8ee0124b5318ef62f993acf82a15165ae14708260b58165c80c91,G# min,172.0,-6.6,76.0,59.0,94.0,3.0,20.0,8.0,0.0,1,0,0,1,1,0,0
39ab5d0daf20b1cfbec793900331c8f56b8835cefba2e0e60ab689c86f36f5c2,A Maj,141.0,-4.95,82.0,64.0,40.0,4.0,14.0,42.0,0.0,1,0,0,1,1,0,0
9c924ad5171ec8e9a5e7063a0f9f97297add8f9f67b5f695274602c988341f40,F# min,140.0,-6.7,92.0,60.0,76.0,37.0,24.0,21.0,0.0,1,0,0,1,0,0,0
068e034af57eae067470583aabb7c72eb448ab90e219a63ac65dd1f51ad40d58,B Maj,154.0,-6.09,66.0,64.0,27.0,4.0,11.0,0.0,0.0,1,0,0,1,0,0,0
c91c8367b00665eb4f4e75c3b81c60259cddf2a1b2b8440e54a939ab407c5ebb,A# Maj,200.0,-5.25,68.0,60.0,59.0,14.0,8.0,33.0,0.0,1,0,0,1,0,0,0
d3bc3d0e87030cfd5f281b015059e13c2cdfd2661362c4ab20daa7ead03bb1c5,C# Maj,124.0,-2.96,68.0,91.0,4.0,4.0,21.0,0.0,0.0,1,0,0,1,0,0,0
83f4fe4bd9b45b233b2330525eb68ffa510bf2d0b4a4ca161aa9142d01603f60,E min,145.0,-4.33,70.0,54.0,21.0,3.0,16.0,32.0,0.0,1,0,0,1,0,0,0
4ae7112aaea8f23aea209a4d28f99ac3a1f5ea11d0c99b945405187efd6bc8ae,E Maj,123.0,-8.5,70.0,56.0,51.0,3.0,22.0,0.0,0.0,1,0,0,1,0,0,0
ccbaea9c43a4014f45262f4cd7cd1165eed2d863482af022e65216e1eb96f7c8,A# Maj,123.0,-10.0,64.0,63.0,79.0,3.0,30.0,4.0,0.0,1,0,0,1,0,0,0
e2a550e19ae6ca2a51506be93244d6428a13ec5757c5c65e6789d5236edff28c,C# Maj,170.0,-5.79,67.0,69.0,62.0,20.0,10.0,2.0,0.0,1,0,0,1,0,0,0
5196f6a5137e47a79f94e72a38ae403a1bce2b3b86755ad6a2c63ffcc62e658d,A min,198.0,-5.08,94.0,64.0,61.0,32.0,25.0,9.0,0.0,1,0,0,1,1,0,0
