release_year,tracks_count,avg_loudness_db,max_loudness_db
2024,25653,-8.6758,3.78
2023,12195,-10.1873,2.61
2022,11938,-8.4656,4.98
2021,25001,-7.8449,2.04
2020,33800,-7.768,3.51
2019,38143,-7.658,2.62
2018,40071,-7.5496,3.64
2017,36570,-7.4463,2.92
2016,28086,-7.3582,0.12
2015,21993,-7.3675,1.57
2014,18073,-7.4421,1.3
2013,16540,-7.305,1.43
2012,13806,-7.1679,2.79
2011,11678,-7.2311,1.15
2010,9703,-7.1843,2.43
2009,9006,-7.1451,4.11
2008,8156,-7.143,-0.17
2007,8266,-7.1778,0.15
2006,7959,-7.2135,1.33
2005,6957,-7.3887,1.27
2004,6113,-7.4105,-0.49
2003,6132,-7.025,0.44
2002,5148,-7.2845,0.0
2001,5018,-7.5268,-0.11
2000,4227,-7.7255,2.03
1999,5230,-7.8825,0.66
1998,4639,-8.322,-1.0
1997,4482,-8.533,-0.81
1996,4678,-8.9389,-1.22
1995,4289,-9.3597,-1.72
1994,4120,-9.7395,-1.83
1993,3777,-10.6317,-2.13
1992,3134,-10.636,-1.07
1991,3105,-10.9769,-1.66
1990,2671,-10.9201,-1.88
1989,2706,-11.0086,-1.32
1988,2224,-10.6477,-1.84
1987,2303,-11.0937,-2.0
1986,1987,-10.4866,-1.85
1985,2005,-11.065,-1.38
1984,2106,-10.5723,-2.08
1983,1889,-10.165,-2.02
1982,1898,-10.2636,-0.39
1981,1953,-10.492,-1.0
1980,2253,-9.7758,-2.12
1979,2008,-10.7288,-2.53
1978,1914,-10.4199,-1.57
1977,1801,-10.9751,-1.48
1976,1524,-10.6014,-1.11
1975,1517,-11.0589,-3.0
1974,1555,-11.1086,-2.89
1973,1694,-11.0275,3.74
1972,1694,-11.9722,-3.0
1971,1597,-12.1201,-2.68
1970,1752,-11.3722,-2.37
1969,1378,-12.376,-3.24
1968,1227,-11.5448,-3.54
1967,1208,-11.07,-3.72
1966,830,-11.0149,-3.0
1965,804,-11.0601,-2.23
1964,591,-10.6483,-2.83
1963,478,-12.1947,-3.13
1962,402,-12.0219,0.26
1961,310,-12.8692,-3.68
1960,405,-11.848,1.62
1959,300,-12.1836,-3.23
1958,258,-12.8485,-5.0
1957,303,-13.212,-2.98
1956,223,-12.3846,-4.54
1955,102,-12.1033,-6.32
1954,94,-11.8673,-0.76
1953,93,-11.3463,-1.24
1952,60,-12.3213,-4.53
