Key,total_tracks,avg_popularity,hits_count
D# min,5984,31.97,50
G min,12441,31.68,162
F# min,17708,31.52,250
E Maj,18528,31.17,109
E min,20283,31.16,236
F# Maj,17057,31.16,236
D min,9749,30.99,21
A Maj,31131,30.93,235
C# min,16027,30.85,189
F min,17138,30.75,192
C min,11133,30.75,117
B min,23219,30.74,168
F Maj,20916,30.66,273
B Maj,17787,30.65,125
G# Maj,23497,30.56,259
A min,19193,30.56,184
D# Maj,8564,30.54,85
G# min,9327,30.26,75
A# Maj,14371,30.25,181
C Maj,43937,30.03,338
C# Maj,39598,29.85,268
D Maj,40345,29.82,262
A# min,18110,29.67,106
G Maj,41980,29.64,156
