Artist(s),song,Danceability,Popularity,Genre,Release Date
Fantastik Pianomancer,On The Line,99.0,0,hip hop,2023-12-18
"Eurythmics,Annie Lennox,Dave Stewart",Something So Right,99.0,3,hip hop,2006-05-30
Sybyr,Hahaha,99.0,6,hip hop,2018-09-30
Valee,Boxing,99.0,10,hip hop,2019-06-28
"Johnny Myzky Taha Hiva Siana,Life",Any Way the Wind Blows,99.0,11,hip hop,2008-12-19
Young MC,Pick Up The Pace,99.0,12,hip hop,1989-01-01
Sybyr,Platform Thigh High Boots,99.0,14,hip hop,2019-04-29
Sleaford Mods,Messy Anywhere,99.0,16,"electronic, hip hop, post-punk",2017-03-03
Deejay inno,Sexy Bitch,99.0,23,hip hop,2023-11-27
Denace,Assassin,99.0,25,"hip hop, rap",2015-12-21
