similar_artist,recommended_count
L.A.B.,1498
TEMM DOGG,718
Kora,712
Home Brew,684
Shapeshifter,684
Glee Cast,638
SIX60,590
Bob Dylan,585
Juice WRLD,540
Chief Keef,478
Elvis Presley,473
Katchafire,441
Tiki Taane,439
David Bowie,436
Gucci Mane,433
Bruce Springsteen,430
Prince,422
Drax Project,419
Frank Sinatra,413
The Beatles,412
YoungBoy Never Broke Again,401
Salmonella Dub,400
The Rolling Stones,387
Johnny Cash,387
BONES,375
Elton John,357
Green Day,347
Neil Young,344
Chris Brown,340
Morrissey,336
Insane Clown Posse,336
Vybz Kartel,332
Vigilante Tha' Prophit,328
Hori Shaw,324
Red Hot Chili Peppers,317
Mariah Carey,316
NOFX,316
Lil Wayne,314
The Beach Boys,313
Black Sabbath,306
Taylor Swift,304
Weezer,303
Marilyn Manson,303
Iron Maiden,301
Tom Waits,297
Nick Cave & The Bad Seeds,296
Michael Jackson,294
Planetshakers,293
Queen,290
Pearl Jam,288
Nina Simone,287
Ramones,286
Stan Walker,283
Scarlxrd,283
Kylie Minogue,282
Megadeth,282
Fleetwood Mac,281
Lil Uzi Vert,281
The Kinks,277
The Mountain Goats,277
Hillsong Worship,274
House of Shem,266
Dolly Parton,266
Robbie Williams,265
Stevie Wonder,265
Linkin Park,264
Alice Cooper,264
Dean Martin,262
Bee Gees,261
Imagine Dragons,260
Depeche Mode,257
Lil B,257
Backstreet Boys,257
George Strait,256
Reba McEntire,255
Aerosmith,254
The Who,253
Korn,252
Electric Light Orchestra,252
U2,250
Genesis,249
Billy Joel,249
Leonard Cohen,249
Lou Reed,249
Ella Fitzgerald,249
Bon Jovi,248
Tory Lanez,246
Bob Marley & The Wailers,245
$uicideboy$,244
Nat King Cole,244
Metallica,242
Miley Cyrus,241
Grateful Dead,240
Dave Matthews Band,240
Fall Out Boy,240
Kelly Clarkson,239
Lloyd Banks,239
Tori Amos,239
Paul McCartney,238
Tech N9ne,238
Dream Theater,237
George Harrison,236
Lion Rezz,235
Russ,234
Michael W. Smith,232
Blur,231
Scorpions,230
Herbs,230
Coldplay,230
James Taylor,229
John Prine,227
Gordon Lightfoot,227
Loretta Lynn,224
Helloween,221
Deep Purple,219
Mac Miller,218
Def Leppard,218
Neil Diamond,218
2Pac,218
Tim McGraw,218
Lady Gaga,218
Madonna,217
The Moody Blues,217
Foo Fighters,217
Indigo Girls,216
Eminem,216
Rush,216
Judas Priest,216
The Offspring,215
Kanye West,214
Pet Shop Boys,214
Incubus,213
Britney Spears,213
R. Kelly,212
KISS,212
Boosie Badazz,212
Westlife,212
Christina Aguilera,212
Kodak Black,211
Jimmy Buffett,210
Cheap Trick,210
Barbra Streisand,209
Lana Del Rey,209
Rod Stewart,209
Kenny Chesney,209
Demi Lovato,208
Ozzy Osbourne,208
Van Morrison,208
Slayer,207
The Smashing Pumpkins,206
"\"Weird Al\" Yankovic",205
Ween,205
"Jr., Hank Williams",205
Kate Bush,204
Nas,204
Trey Songz,203
John Denver,203
Cher,203
Avril Lavigne,202
Dusty Springfield,201
King Gizzard & The Lizard Wizard,200
The Temptations,200
Oasis,199
Radiohead,198
Bob Seger,198
Ice Cube,196
Paul Simon,196
Scribe,195
Jimi Hendrix,194
Counting Crows,194
Kidz Bop Kids,193
Jackson Browne,193
John Mellencamp,193
The Monkees,193
Bad Religion,192
Eric Clapton,191
Chris Rea,191
The Clash,191
Jason Mraz,190
Kevin Gates,190
Vince Gill,190
Michael Bolton,190
Donna Summer,189
Alabama,189
Andy Williams,188
Cyndi Lauper,188
Future,188
Nazareth,188
Carly Simon,188
Billie Holiday,187
Jeezy,186
LeAnn Rimes,186
Randy Travis,186
Snoop Dogg,185
Kings,185
blink-182,185
Kenny Rogers,185
Wiz Khalifa,184
XTC,183
Pink Floyd,183
Modern Talking,182
Yelawolf,182
Air Supply,182
Blindspott,181
Bing Crosby,181
Warren Zevon,181
P!nk,179
Phil Collins,179
Marillion,179
Cliff Richard,179
Willie Nelson,179
Amy Grant,177
USHER,177
Alkaline Trio,176
AC/DC,176
Waylon Jennings,176
Michael Bublé,175
George Jones,175
Fat Freddy's Drop,174
HIM,174
Townes Van Zandt,173
Ray Charles,173
XXXTENTACION,172
INXS,172
Olivia Newton-John,172
UB40,172
Wanda Jackson,171
Frank Zappa,171
Carpenters,171
Rise Against,171
Upchurch,171
Uriah Heep,171
Lynyrd Skynyrd,170
Joni Mitchell,170
The Cure,169
ABBA,169
the feelers,169
Sting,168
Patti Smith,168
Yusuf / Cat Stevens,168
The Tragically Hip,168
Fast Crew,168
Emmylou Harris,168
Yes,168
Richard Marx,168
Roxette,168
Trippie Redd,167
Status Quo,167
Bonnie Raitt,166
Chicago,166
ZZ Top,166
Tom T. Hall,166
Hank Williams,165
Lil Yachty,165
Bette Midler,165
Van Halen,165
The Doors,165
Nightwish,164
Nirvana,164
Journey,164
50 Cent,164
Sufjan Stevens,164
"Atmosphere,Slug,Ant",163
Drake,163
Party Tyme,163
Céline Dion,163
Conway Twitty,162
Swans,162
Money Man,162
Natalie Cole,161
Rascal Flatts,160
Kenny Loggins,160
JAY-Z,160
Katy Perry,160
Lenny Kravitz,159
PARTYNEXTDOOR,159
Lil Durk,159
BTS,159
Shihad,158
Squeeze,158
Ed Sheeran,158
Dan Bull,158
Luther Vandross,157
Sia,157
Glen Campbell,157
Nine Inch Nails,157
TOTO,156
Iggy Pop,154
Rhombus,154
John Legend,154
Phish,153
Frank Ocean,153
Everclear,153
The Used,152
Marianne Faithfull,152
Justin Bieber,152
Alice In Chains,152
Soundgarden,152
Guns N' Roses,152
Faith No More,152
The Killers,151
Playboi Carti,151
Sabaton,151
Manowar,151
Engelbert Humperdinck,150
Erasure,150
5 Seconds of Summer,150
Tom Jones,149
Dire Straits,149
Keith Urban,149
Matt Redman,149
Norah Jones,149
The Pogues,149
Styx,149
Otis Redding,149
Phora,148
Maroon 5,147
JayDaYoungan,147
Migos,147
In Flames,146
Rihanna,145
Pentatonix,145
Tom Petty and the Heartbreakers,145
Beyoncé,145
Sonic Youth,144
Louis Armstrong,144
Z-Ro,144
The Magnetic Fields,143
New Order,143
The Hollies,143
Yellowcard,143
Fetty Wap,142
Opeth,142
Placebo,142
George Michael,142
LL COOL J,142
DEVO,142
Josh Groban,142
The Jam,141
Diana Ross,141
AFI,141
The Doobie Brothers,141
Overkill,141
A Boogie Wit da Hoodie,141
The Beautiful South,140
Janet Jackson,140
Tyga,140
Kid Rock,140
Pretenders,139
Boney M.,139
Famous Dex,139
J. Cole,139
Azizi Gibson,139
Kris Kristofferson,139
Nickelback,138
Passenger,138
One Direction,138
Peter Gabriel,138
Mary J. Blige,138
REO Speedwagon,138
Every Time I Die,138
Joe Budden,137
The Decemberists,137
The Maine,137
LUCKI,136
Biffy Clyro,135
Curren$y,135
Owl City,135
Relient K,134
Perry Como,134
Chris Travis,134
Logic,134
BROCKHAMPTON,134
David Allan Coe,134
Melanie Martinez,133
Faith Hill,133
Chuck Berry,133
Soulja Boy,132
The Avett Brothers,132
Hank Snow,132
All Time Low,132
Primus,132
Etta James,132
Tears For Fears,131
Five Finger Death Punch,131
Gary Numan,131
Roy Orbison,130
Aesop Rock,130
Regine Velasquez,130
Hillsong UNITED,130
Hanson,130
Whitney Houston,129
AmaLee,129
Pat Benatar,129
Lionel Richie,129
Larry June,129
Manic Street Preachers,129
Talking Heads,129
Modest Mouse,128
Mayday Parade,128
Steely Dan,128
Bright Eyes,128
CAKE,128
Frank Turner,128
Kendrick Lamar,128
Beastie Boys,128
Underworld,127
Death Cab for Cutie,127
Meat Loaf,127
Outkast,127
Thrice,127
America,127
Linda Ronstadt,127
Kid Cudi,126
HoodRich Pablo Juan,126
Alicia Keys,126
Moneybagg Yo,125
Ocean Colour Scene,125
Popcaan,125
Alanis Morissette,125
The Devil Wears Prada,124
Switchfoot,124
Underoath,124
The Smiths,124
Childish Gambino,124
Sleeping At Last,123
Arlo Guthrie,123
Gaither Vocal Band,123
Hollywood Undead,123
Lukas Graham,123
NEFFEX,123
Cannibal Corpse,123
Tinashe,122
Ghostemane,122
Katatonia,122
"Jr., Harry Connick",122
Mastodon,121
AJJ,121
Our Lady Peace,121
1814,121
Ski Mask The Slump God,121
John Mayer,121
The National,121
Queens of the Stone Age,121
Nitty Gritty Dirt Band,121
Ryan Adams,120
Our Last Night,120
*NSYNC,120
The Black Keys,120
R.E.M.,120
The Alan Parsons Project,120
Little Mix,120
Key Glock,119
Elemeno P,119
Big K.R.I.T.,119
The Script,119
Lucky Dube,119
The Notorious B.I.G.,119
Thin Lizzy,119
of Montreal,118
The White Stripes,118
Marvin Gaye,118
Say Anything,117
Harry Belafonte,117
Josh A,117
Shawn Mendes,117
OneRepublic,117
Ace Hood,117
Silverstein,116
Yo La Tengo,116
Judy Garland,116
Travis,116
Chris Webby,116
Beck,116
Supertramp,116
Train,116
Whitesnake,116
Wilco,115
Ellie Goulding,115
Car Seat Headrest,115
Elliott Smith,115
Dance Gavin Dance,115
Avantdale Bowling Club,114
Alkaline,114
Tracy Chapman,114
Nicki Minaj,114
Queensrÿche,113
Stone Sour,113
Foreigner,113
Great Big Sea,113
Lil Skies,113
Rich Homie Quan,113
Quando Rondo,113
DMX,112
Guided By Voices,112
Aretha Franklin,112
Kirk Franklin,112
Ariana Grande,112
John Frusciante,112
Converge,112
Misfits,112
Stray Kids,112
Olly Murs,112
Unlike Pluto,112
"Royce Da 5'9\"",112
The Game,112
Jack Johnson,111
Elvis Costello,111
Trivium,111
Beach House,111
Sublime,111
Widespread Panic,111
Panic! At The Disco,111
21 Savage,111
Jacquees,111
Muse,111
Xiu Xiu,111
Three 6 Mafia,111
TWICE,111
Twenty One Pilots,110
Sara Bareilles,110
The Amity Affliction,109
Carly Rae Jepsen,109
Animal Collective,109
King Diamond,109
Chaka Khan,109
Black Eyed Peas,109
Belle and Sebastian,109
Oingo Boingo,109
Meek Mill,109
Allman Brothers Band,108
Papa Roach,108
cupcakKe,108
Elvis Costello & The Attractions,108
Jennifer Lopez,108
Bone Thugs-N-Harmony,108
Heart,108
The Vamps,108
Thouxanbanfauni,108
Demon Hunter,108
Jimmy Eat World,107
K CAMP,107
Selena Gomez,107
Set It Off,107
Evanescence,107
Fabolous,107
Sum 41,107
Rancid,107
W.A.S.P.,107
JT Music,107
Alphaville,106
Tink,106
Nipsey Hussle,106
Brandy,106
zebrahead,106
The Kid LAROI,106
Ingrid Michaelson,105
Blue October,105
Yo Gotti,105
Grand Funk Railroad,105
Rick Ross,105
Eric Bellinger,104
The Black Seeds,104
Dave East,104
Young Dolph,104
Senses Fail,104
Mitch James,104
The Weeknd,104
ONE OK ROCK,103
Dan Fogelberg,103
Luke Bryan,103
Kirsty MacColl,103
"Eurythmics,Annie Lennox,Dave Stewart",103
Split Enz,103
Old 97's,103
311,103
Powerwolf,103
The Isley Brothers,103
Laura Marling,102
Chevelle,102
Tegan and Sara,102
Wishbone Ash,102
August Alsina,102
Keith Green,102
Crowded House,102
Brother Ali,102
Architects,102
The Proclaimers,102
PnB Rock,102
Mobb Deep,102
Coheed and Cambria,101
Poison,101
Tina Turner,101
Ace of Base,101
NateWantsToBattle,101
The Dear Hunter,101
UnoTheActivist,101
Lupe Fiasco,101
Santana,101
Bryan Adams,101
Sparks,101
Clutch,101
NCT 127,101
Shinedown,101
Skillet,100
UFO,100
Seether,100
The Yandall Sisters,100
K-Rino,100
Lil Mosey,100
Miranda Lambert,100
Within Temptation,100
Lil Tecca,99
Jason Aldean,99
Randy Newman,99
Deftones,99
Blind Guardian,99
D-Block Europe,99
The 1975,99
Toni Braxton,99
Jonas Brothers,99
Tom Rosenthal,98
New Found Glory,98
Leo Sayer,98
Juicy J,98
Jim Croce,98
Ne-Yo,98
You Me At Six,98
August Burns Red,98
Bullet For My Valentine,98
Dizzy Wright,98
Necro,98
Asian Doll,97
Steve Miller Band,97
Mary Black,97
Yung Lean,97
The Kelly Family,97
Point Of Grace,97
Yung Pinch,96
Caskey,96
Eddie Cochran,95
Joey Bada$$,95
Tom MacDonald,95
Lamb of God,95
Mindless Self Indulgence,95
Sage Francis,95
O.A.R.,95
Porcupine Tree,95
Against Me!,95
Regina Spektor,94
G Herbo,94
Fredo Bang,94
Busta Rhymes,94
A Day To Remember,94
Violent Femmes,94
Shy Glizzy,94
Mother Mother,94
Young Nudy,94
Lemon Demon,94
Enrique Iglesias,94
TOI,93
Cradle Of Filth,93
Rage Against The Machine,93
KRS-One,93
Don Henley,93
Young Thug,93
Paramore,93
Taking Back Sunday,93
Flatsound,93
Lady A,93
Disturbed,93
Eagles,93
Dr. Reknaw,92
Ayesha Erotica,92
Andrew Bird,92
Descendents,92
Twiztid,92
Roxy Music,92
Circa Survive,92
Stone Temple Pilots,92
Drive-By Truckers,92
Tim Buckley,92
Bayside,91
Angus & Julia Stone,91
G-Eazy,91
Eric Church,91
Slipknot,91
The Waterboys,91
Pavement,91
Bryson Tiller,90
NLE Choppa,90
Yung Bleu,90
Keane,90
Blake Shelton,90
John Waite,90
Thee Oh Sees,90
Hopsin,90
Wale,90
Gino Vannelli,90
The Cranberries,89
Procol Harum,89
Asking Alexandria,89
Orchestral Manoeuvres In The Dark,89
Siouxsie and the Banshees,89
Arctic Monkeys,89
Third Eye Blind,89
They Might Be Giants,89
Billy Talent,89
Freddie Gibbs,89
Carrie Underwood,89
Bruno Mars,89
The Front Bottoms,89
DaBaby,89
Cat Power,89
Chris Cornell,88
Face To Face,88
The Kooks,88
The Mechanisms,88
Joan Baez,88
Kid Ink,87
Sam Smith,87
Sticky Fingers,87
Yungeen Ace,87
The Hold Steady,87
Pete Seeger,87
NEEDTOBREATHE,87
Creedence Clearwater Revival,87
The Wolfe Tones,87
Yngwie Malmsteen,87
Angel Olsen,86
Sun Kil Moon,86
Alec Benjamin,86
Propagandhi,86
Plies,86
My Chemical Romance,86
Portugal. The Man,86
Justin Timberlake,86
Indiana Bible College,86
Mac Dre,86
Chris Tomlin,86
Miracle Of Sound,86
Machine Head,85
The Growlers,85
Garbage,85
Father John Misty,85
The Wonder Years,85
Pixies,85
Vanessa Williams,85
The Underachievers,85
Jaden,85
Brandi Carlile,85
The Black Dahlia Murder,85
Howard Jones,85
Rod Wave,85
Fiona Apple,85
Too $hort,85
Snow Patrol,85
Xavier Wulf,85
"Roy Orbison,Alex Orbison,Chuck Turner",84
Motion City Soundtrack,84
Redman,84
The Velvet Underground,84
Keyshia Cole,84
Madchild,83
