Artist(s),Album,avg_popularity,songs_count
Taylor Swift,Midnights,81.69,16
Taylor Swift,1989 (Deluxe),79.64,11
Taylor Swift,Lover,79.13,23
Taylor Swift,THE TORTURED POETS DEPARTMENT,79.0,2
Taylor Swift,Love Story (Taylor’s Version),79.0,1
Taylor Swift,reputation,77.58,26
Taylor Swift,evermore,76.43,7
Taylor Swift,Red (Big Machine Radio Release Special),73.67,3
Taylor Swift,Fearless (Big Machine Radio Release Special),73.33,6
Taylor Swift,1989,72.4,5
Taylor Swift,folklore,72.0,1
Taylor Swift,Speak Now (Taylor's Version),70.57,21
Taylor Swift,1989 (Taylor's Version),70.5,20
Taylor Swift,Midnights (The Til Dawn Edition),70.0,1
Taylor Swift,If This Was A Movie (Taylor’s Version),70.0,1
Taylor Swift,Red (Taylor's Version),66.83,42
Taylor Swift,I Can Do It With a Broken Heart,66.0,2
Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,65.88,8
Taylor Swift,Fearless (Taylor's Version),65.33,46
Taylor Swift,Midnights (3am Edition),65.0,2
Taylor Swift,Hannah Montana The Movie,64.0,1
Taylor Swift,evermore (deluxe version),64.0,1
Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”),63.0,1
Taylor Swift,Only The Young (Featured in Miss Americana),61.0,1
Taylor Swift,Eyes Open (Taylor's Version),60.0,1
Taylor Swift,The Cruelest Summer,59.0,1
Taylor Swift,Spotify Singles,59.0,1
Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,59.0,1
Taylor Swift,Cornelia Street (Live From Paris),58.0,2
Taylor Swift,Taylor Swift,57.06,18
Taylor Swift,Sweeter Than Fiction,56.5,2
Taylor Swift,Taylor Swift (Big Machine Radio Release Special),56.09,11
Taylor Swift,Taylor Swift (Deluxe Edition),56.0,1
Taylor Swift,Christmas Tree Farm,55.0,1
Taylor Swift,Daylight (Live From Paris),55.0,1
Taylor Swift,Death By A Thousand Cuts (Live From Paris),54.0,1
Taylor Swift,Lover (First Dance Remix),53.0,1
Taylor Swift,Speak Now (Deluxe Package),50.67,3
Taylor Swift,The Man (Live From Paris),48.0,1
Taylor Swift,Speak Now World Tour Live,43.14,7
Taylor Swift,Cats: Highlights From The Motion Picture Soundtrack,42.5,2
Taylor Swift,The Taylor Swift Holiday Collection,39.67,6
Taylor Swift,Live From Clear Channel Stripped 2008,38.0,1
Taylor Swift,Red (Deluxe Edition),35.0,2
