genre_name,Artist(s),song,Album,Popularity,rank_in_genre
acoustic,dandelion hands,It's You,It's All In Your Head,77,1
alt-country,Mumford & Sons,Believe,Babel (Deluxe Version),70,1
alternative,Lana Del Rey,Yes To Heaven,Say Yes To Heaven,88,1
alternative rock,Teddy Swims,Come ye disconsolate,I've Tried Everything But Therapy (Part 1),91,1
ambient,Cigarettes After Sex,Cry,Cry,83,1
black metal,Justin Bieber,This Dream Is Too Good,Justice,89,1
blues,Hozier,Problem BBC Radio 1 Live Lounge,Unreal Unearth: Unheard,89,1
britpop,Tears For Fears,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),89,1
chillout,Øneheart,Bad Attitudes,apathy,71,1
chillwave,SZA,Passport,Saturn,90,1
christian,Lauren Daigle,Rescue Soul,Look Up Child,74,1
classic rock,Creedence Clearwater Revival,Sweet Home Alabama,Pendulum (Expanded Edition),89,1
classical,Billy Joel,An Innocent Man,An Innocent Man,84,1
cloud rap,Ruth B.,Safe Haven,Safe Haven,86,1
comedy,Carl Douglas,Kung Fu,Kung Fu Fighter,72,1
country,Taylor Swift,This Is Really Happening,Lover,93,1
dance,Chris Brown,Hang All The Mistletoe,11:11,87,1
dancehall,Tory Lanez,Look No Further,Alone At Prom,84,1
death metal,Nickelback,Just Mine!,Silver Side Up,85,1
deathcore,Slaughter to Prevail,Demolisher,Kostolom,61,1
disco,Justin Timberlake,Why When How,Selfish,86,1
doom metal,Type O Negative,Life Is Killing Me,Life Is Killing Me,69,1
dream pop,Grouper,Poison Tree,Inca Ore / Grouper,76,1
drum and bass,PinkPantheress,Tell Me Where You Are,to hell with it,82,1
dub,Bruno Major,To Let a Good Thing Die,To Let A Good Thing Die,72,1
dubstep,The Living Tombstone,My Ordinary Life,My Ordinary Life,72,1
electro,Vengaboys,Boom Boom Boom,The Party Album!,76,1
electronic,Billie Eilish,H.M.T,HIT ME HARD AND SOFT,100,1
electropop,Billie Eilish,H.M.T,HIT ME HARD AND SOFT,100,1
emo,Jimmy Eat World,Stuck in the Middle,Bleed American,83,1
emo rap,The Kid LAROI,25 To Life,THE FIRST TIME,88,1
experimental,Outkast,High Schoolin,Speakerboxxx/The Love Below,84,1
folk,Ed Sheeran,Outro,÷ (Deluxe),86,1
funk,Harry Styles,As It Was,Harry's House,92,1
garage rock,Iggy Pop,Dancing With The Big Boys,Lust For Life,73,1
gospel,Benson Boone,Branches,Beautiful Things,91,1
grime,Central Cee,GETAWAY,Doja,80,1
grunge,Foo Fighters,Throwing Needles,The Colour And The Shape,86,1
hard rock,Zach Bryan,Someday On My Mind,Something in the Orange,87,1
hardcore,A Day To Remember,The Down Syndrome,Homesick,72,1
heavy metal,Guns N' Roses,Imagine,Appetite For Destruction,88,1
hip hop,Kendrick Lamar,Swimming Pools Demo,Not Like Us,97,1
hip-hop,Eminem,Steve Berman Skit 2000,Houdini,94,1
house,Avicii,Heart Upon My Sleeve,True,86,1
indie,Arctic Monkeys,-,AM,91,1
indie pop,Myles Smith,Myles,Stargazing,93,1
indie rock,Myles Smith,Myles,Stargazing,93,1
industrial,Mr. Belt & Wezol,Finally - Radio Edit,It's Not Right But It's Okay,83,1
j-pop,LISA,L-O-V-E,Rockstar,93,1
jazz,J. Cole,Can I Holla At Ya,2014 Forest Hills Drive,90,1
k-pop,Jung Kook,Never Not Cover,Never Let Go,90,1
latin,Miguel,All I Want Is You,All I Want Is You,86,1
lo-fi,TV Girl,Rodeo Clowns,French Exit,87,1
math rock,Portugal. The Man,The Woods,Woodstock,82,1
melodic death metal,In Flames,Clayman,Clayman,62,1
metal,Linkin Park,In The End,Hybrid Theory (Bonus Edition),89,1
metalcore,Bring Me The Horizon,Drown Acoustic,That's The Spirit,78,1
new wave,Bruno Mars,Circles,Unorthodox Jukebox,91,1
nu metal,Limp Bizkit,Middle Finger,Significant Other,82,1
pop,Billie Eilish,H.M.T,HIT ME HARD AND SOFT,100,1
pop punk,Smash Mouth,All Ster,Astro Lounge,80,1
pop rock,LISA,L-O-V-E,Rockstar,93,1
post-hardcore,Falling In Reverse,Shes a Rebel,Popular Monster,75,1
post-punk,Cage The Elephant,Daydreams,Melophobia,81,1
power metal,Sabaton,The Last Stand,The Last Stand,68,1
progressive metal,Metallica,The Chase Is Better Than The Catch,Metallica,82,1
progressive rock,Journey,Jo,Escape (2022 Remaster),87,1
psychedelic,Black Pumas,Colors,Black Pumas,72,1
psychedelic rock,Fleetwood Mac,Beamer Bad Boys,Rumours (Super Deluxe),86,1
punk,The Police,Every Breath You Take,Synchronicity (Remastered 2003),87,1
punk rock,The Goo Goo Dolls,Dizzy,Dizzy up the Girl,87,1
rap,Kendrick Lamar,Swimming Pools Demo,Not Like Us,97,1
reggae,Bob Marley & The Wailers,You,Uprising,83,1
reggaeton,Farruko,Farruko - Pepas English Translation,Pepas,79,1
rnb,The Weeknd,After Hours,After Hours,88,1
rock,Miley Cyrus,Que Sera!,Endless Summer Vacation,94,1
screamo,Falling In Reverse,Shes a Rebel,Popular Monster,75,1
shoegaze,Mazzy Star,It Speaks The Distance,So Tonight That I Might See,83,1
soul,Natasha Bedingfield,Sound Siren,Unwritten,94,1
soundtrack,M83,Up,"Hurry up, We're Dreaming",78,1
swing,J. Cole,Can I Holla At Ya,2014 Forest Hills Drive,90,1
synthpop,Charli xcx,Ride,BRAT,89,1
techno,MAGIC!,Rude,Don't Kill the Magic,83,1
thrash metal,Slayer,Born To Be Wild,Repentless,76,1
trance,Charli xcx,Ride,BRAT,89,1
