genre_name,avg_energy,avg_danceability,songs_count
deathcore,94.522,37.622,1041
metalcore,91.236,39.911,4469
thrash metal,89.228,38.114,2896
melodic death metal,88.913,39.418,1619
death metal,88.578,37.031,2508
hardcore,87.303,37.602,1434
post-hardcore,85.342,40.684,4384
screamo,84.316,37.882,880
power metal,83.996,43.594,1864
progressive metal,83.593,38.769,4117
pop punk,83.537,48.337,3876
metal,83.14,41.855,15583
nu metal,82.921,51.464,2090
punk rock,82.222,44.977,6656
punk,80.753,45.566,11427
heavy metal,80.126,44.213,13143
black metal,79.361,37.539,1392
k-pop,76.637,68.786,1459
industrial,75.428,49.207,2137
emo,75.381,45.275,4056
grunge,73.39,45.734,2026
garage rock,73.189,49.612,1650
hard rock,72.326,48.443,11958
worship,71.284,43.967,450
doom metal,71.269,35.921,956
dubstep,71.045,56.269,774
post-punk,70.932,50.481,3581
house,70.809,62.827,2485
math rock,70.71,47.844,679
christian,70.63,46.785,1740
grime,70.6,66.939,802
alternative rock,69.71,49.712,40267
techno,68.8,65.887,870
electro,68.692,64.598,848
hip-hop,68.479,69.786,8793
britpop,68.402,52.026,768
j-pop,67.958,64.557,862
dance,66.826,63.936,4667
drum and bass,66.194,62.346,2639
synthpop,66.109,57.389,9215
dancehall,65.976,69.072,1547
electropop,65.947,61.613,8375
electronic,65.15,57.975,21473
reggaeton,65.147,62.676,34
rock,64.906,52.684,84107
rap,64.82,68.342,15969
new wave,64.56,58.437,5782
trance,64.547,61.228,2446
pop rock,63.33,55.637,22582
alternative,63.303,54.237,3870
progressive rock,63.174,47.488,10097
shoegaze,62.687,42.61,2173
trip-hop,62.659,58.888,659
indie rock,62.466,50.076,22744
hip hop,62.069,62.996,239855
trap,61.872,71.18,15308
psychedelic rock,61.748,51.744,6976
psychedelic,61.706,51.316,323
reggae,61.605,74.211,8511
cloud rap,60.787,65.37,2489
classic rock,60.781,53.843,5822
latin,60.563,61.588,1120
comedy,59.695,62.283,1251
indie,59.356,52.695,6471
experimental,59.225,51.558,3550
funk,59.158,65.233,6985
indie pop,57.88,55.801,10617
pop,57.88,57.227,63307
dub,57.491,74.759,2050
disco,56.819,59.83,2358
dream pop,56.534,48.889,2176
soundtrack,56.52,57.263,3508
emo rap,55.714,65.838,1719
lo-fi,55.54,54.107,2281
ambient,55.173,54.215,3335
rnb,54.669,60.158,3099
soul,54.379,60.569,15947
chillwave,54.361,61.153,620
blues,52.611,59.327,12786
classical,52.05,56.205,5472
alt-country,51.809,55.485,602
country,51.468,56.133,16357
chillout,51.443,51.732,149
jazz,49.701,56.116,15837
gospel,48.557,51.29,3339
acoustic,47.597,54.602,976
folk,45.725,54.247,20230
swing,43.824,54.877,3320
