year,most_common_emotion,emotion_count,avg_positiveness
1899,joy,3,69.8
1900,joy,7,68.389
1903,joy,2,85.5
1904,sadness,1,23.0
1905,anger,1,71.0
1913,joy,2,60.25
1913,love,2,60.25
1916,joy,1,65.5
1916,sadness,1,65.5
1920,joy,2,67.0
1921,sadness,2,60.0
1922,love,1,69.0
1924,joy,1,54.0
1924,sadness,1,54.0
1925,sadness,2,79.0
1926,joy,4,60.125
1927,joy,3,61.25
1928,sadness,3,61.25
1928,anger,3,61.25
1929,sadness,3,55.875
1930,anger,1,38.5
1930,joy,1,38.5
1931,sadness,3,61.5
1932,sadness,1,70.0
1932,fear,1,70.0
1932,joy,1,70.0
1933,joy,2,85.0
1935,joy,1,82.0
1938,joy,2,69.5
1939,joy,21,71.7
1940,joy,2,88.5
1941,fear,1,59.0
1942,joy,4,57.286
1943,fear,1,54.0
1943,joy,1,54.0
1944,anger,2,46.143
1944,love,2,46.143
1945,joy,11,59.083
1946,sadness,1,50.0
1946,love,1,50.0
1946,joy,1,50.0
1947,sadness,4,44.333
1948,joy,16,60.158
1949,joy,6,50.9
1950,joy,8,54.316
1951,sadness,6,54.071
1952,joy,38,56.933
1953,joy,43,62.409
1954,joy,39,52.564
1955,joy,46,51.48
1956,joy,86,52.027
1957,joy,127,48.409
1958,joy,101,50.097
1959,joy,131,56.397
1960,joy,182,63.079
1961,joy,115,58.223
1962,joy,176,57.609
1963,joy,209,59.272
1964,joy,255,64.81
1965,joy,317,60.132
1966,joy,358,58.619
1967,joy,516,56.485
1968,joy,549,56.04
1969,joy,564,53.487
1970,joy,737,56.107
1971,joy,678,56.79
1972,joy,743,59.009
1973,joy,750,57.01
1974,joy,687,56.948
1975,joy,654,58.562
1976,joy,673,58.02
1977,joy,737,59.194
1978,joy,811,59.37
1979,joy,840,61.792
1980,joy,951,61.83
1981,joy,776,59.558
1982,joy,793,58.65
1983,joy,764,58.066
1984,joy,824,57.61
1985,joy,793,56.83
1986,joy,837,56.073
1987,joy,913,55.399
1988,joy,873,55.584
1989,joy,1158,54.181
1990,joy,1082,52.854
1991,joy,1318,52.075
1992,joy,1295,51.397
1993,joy,1554,50.659
1994,joy,1671,49.711
1995,joy,1690,50.56
1996,joy,1921,51.424
1997,joy,1786,50.399
1998,joy,1872,50.541
1999,joy,2027,51.922
2000,joy,1669,51.506
2001,joy,2035,51.342
2002,joy,2114,50.998
2003,joy,2396,49.561
2004,joy,2401,51.171
2005,joy,2792,49.502
2006,joy,3099,50.126
2007,joy,3234,50.301
2008,joy,3212,49.79
2009,joy,3571,47.03
2010,joy,3849,47.672
2011,joy,4631,46.677
2012,joy,5446,45.563
2013,joy,6293,44.98
2014,joy,6741,43.366
2015,joy,7996,42.848
2016,joy,10386,42.057
2017,joy,13308,42.697
2018,joy,14684,43.464
2019,joy,13532,44.672
2020,joy,12070,45.412
2021,joy,8741,45.868
2022,joy,4399,46.836
2023,joy,4818,47.162
2024,joy,9768,46.386
