Artist(s),song,Album,Popularity,emotion
Bruno Mars,All About You,Unorthodox Jukebox,90,joy
Bruno Mars,Money Makes Her Smile,Unorthodox Jukebox,90,joy
Bruno Mars,Before It Explodes,Unorthodox Jukebox,90,anger
Bruno Mars,Freedom,Unorthodox Jukebox,90,joy
Bruno Mars,Only When You're Lonely,Unorthodox Jukebox,90,sadness
Bruno Mars,She Got Me,Unorthodox Jukebox,90,joy
Bruno Mars,Her World Goes On,Unorthodox Jukebox,90,sadness
Bruno Mars,Killa On Tha Run,Unorthodox Jukebox,90,sadness
Bruno Mars,Girl In The Window,Unorthodox Jukebox,90,sadness
Bruno Mars,Girl I Wait,Unorthodox Jukebox,90,sadness
Bruno Mars,All She Knows,Unorthodox Jukebox,90,sadness
Richy Mitch & The Coal Miners,Somersault,RMCM,89,love
Lord Huron,The Night We Met,Strange Trails,89,fear
Lord Huron,The Night We Met Remix,Strange Trails,89,fear
Bruno Mars,Where Did She Go,Unorthodox Jukebox,87,anger
