artist,song,album,popularity,good_for_work_study,explicit_flag
Bruno Mars,Freedom,Unorthodox Jukebox,90,1,0
Bruno Mars,Only When You're Lonely,Unorthodox Jukebox,90,1,0
Bruno Mars,Before It Explodes,Unorthodox Jukebox,90,1,0
Bruno Mars,Killa On Tha Run,Unorthodox Jukebox,90,1,0
Bruno Mars,She Got Me,Unorthodox Jukebox,90,1,0
Bruno Mars,Money Makes Her Smile,Unorthodox Jukebox,90,1,0
Bruno Mars,Her World Goes On,Unorthodox Jukebox,90,1,0
Bruno Mars,All About You,Unorthodox Jukebox,90,1,0
Bruno Mars,Girl In The Window,Unorthodox Jukebox,90,1,0
Bruno Mars,Girl I Wait,Unorthodox Jukebox,90,1,0
Bruno Mars,All She Knows,Unorthodox Jukebox,90,1,0
Lord Huron,The Night We Met,Strange Trails,89,1,0
Richy Mitch & The Coal Miners,Somersault,RMCM,89,1,0
Lord Huron,The Night We Met Remix,Strange Trails,89,1,0
"Zach Bryan,Kacey Musgraves",Kansas City Star,Zach Bryan,89,1,0
