artist,song,popularity,danceability,positiveness,good_for_party
Eminem,Marshall Mathers,94,94.0,89.0,1
Eminem,Bad Guys Always Die,94,94.0,89.0,1
Eminem,HOUDINI,94,94.0,89.0,1
Eminem,Steve Berman Skit 2000,94,94.0,89.0,1
Eminem,Off the Wall,94,94.0,89.0,1
Eminem,Nice Guy,94,94.0,89.0,1
Eminem,Marsh,94,94.0,89.0,1
Eminem,Get You Mad,94,94.0,89.0,1
Eminem,99 Tim Westwood Freestyle,94,94.0,89.0,1
Eminem,Paul Skit 1999,94,94.0,89.0,1
Eminem,Black Magic,94,94.0,89.0,1
KAROL G,Tusa English Version,93,92.0,79.0,1
Eminem,1999 Tim Westwood Freestyle,92,94.0,89.0,1
Eminem,Eminem vs Kuniva Freestyle Battle,91,94.0,89.0,1
"Central Cee,Lil Baby",Pain,90,88.0,89.0,1
