artist_rank,artist,songs_count,avg_popularity
1,Benson Boone,20,87.7
2,JIN,8,83.125
3,LISA,7,82.85714285714286
4,Billie Eilish,91,82.01098901098901
5,BABYMONSTER,10,81.5
6,YG Marley,15,81.4
7,Regard,7,81.28571428571429
8,Jung Kook,11,80.81818181818181
9,Tucker Wetmore,3,80.66666666666667
10,NewJeans,11,79.81818181818181
11,Bad Bunny,6,79.5
12,NAYEON,20,79.15
13,Farruko,3,79.0
14,Myles Smith,3,79.0
15,Frank Ocean,180,78.95555555555555
16,The Mamas & The Papas,38,78.89473684210526
17,Olivia Rodrigo,34,77.08823529411765
18,SZA,83,76.1566265060241
19,Alan Walker,29,75.79310344827586
20,"Calvin Harris,Ellie Goulding",4,75.75
