genre_name,Artist(s),Popularity,Rank
acoustic,Take Care,74.0,1.0
acoustic,Angus & Julia Stone,53.46153846153846,2.0
acoustic,Cleo Sol,51.31428571428572,3.0
acoustic,Pia Nouvelle,48.0,4.0
acoustic,Melody Gardot,43.31818181818182,5.0
acoustic,Sleeping With Sirens,43.064935064935064,6.0
acoustic,I Am Oak,41.0,7.0
acoustic,Tim Halperin,38.857142857142854,8.0
acoustic,Mipso,38.46153846153846,9.0
acoustic,Against The Current,37.14705882352941,10.0
acoustic,Toby Lightman,36.0,11.0
acoustic,Joe Pug,34.5,12.0
acoustic,Colin Hay,33.53846153846154,13.0
acoustic,Missy Higgins,32.75,14.0
acoustic,Bandits Of The Acoustic Revolution,32.0,15.0
acoustic,Shana Cleveland,31.0,16.0
acoustic,Joshua Radin,30.36,17.0
acoustic,Lars Eriksson,30.0,18.0
acoustic,dandelion hands,29.92105263157895,19.0
acoustic,ATM Curly,29.5,20.0
acoustic,Lucy Spraggan,29.352941176470587,21.0
acoustic,Andreya Triana,29.142857142857142,22.0
acoustic,Chloe Foy,29.0,23.0
acoustic,Kurt Hugo Schneider,29.0,23.0
acoustic,Josh Garrels,28.441176470588236,24.0
acoustic,India.Arie,27.818181818181817,25.0
acoustic,Sam Brookes,27.5,26.0
acoustic,Plan B,27.476190476190474,27.0
acoustic,My Bubba,26.5,28.0
acoustic,The Heavy Horses,26.333333333333332,29.0
acoustic,Paul Kelly,26.133333333333333,30.0
acoustic,Dave Barnes,25.857142857142858,31.0
acoustic,Ande Estrella,25.0,32.0
acoustic,Nina Nesbitt,24.45,33.0
acoustic,Matthew Good,24.166666666666668,34.0
acoustic,Reneé Dominique,23.5,35.0
acoustic,Hop Along,21.96551724137931,36.0
acoustic,Tyler Ward,21.4,37.0
acoustic,WTM Scoob,21.333333333333332,38.0
acoustic,Rob Curly,20.928571428571427,39.0
acoustic,Joan Baez,20.74025974025974,40.0
acoustic,Glass Pear,20.0,41.0
acoustic,jeremy messersmith,19.3,42.0
acoustic,Matt Walden,19.0,43.0
acoustic,Portair,18.5,44.0
acoustic,My Pizza My World,18.0,45.0
acoustic,Tony Lucca,17.0,46.0
acoustic,So Much Light,16.5,47.0
acoustic,Jesse Baez,16.0,48.0
acoustic,Alice Jemima,15.8,49.0
acoustic,Emily Wells,15.375,50.0
acoustic,Vonda Shepard,15.066666666666666,51.0
acoustic,Shirley Callaghan,15.0,52.0
acoustic,Spiritual Front,13.928571428571429,53.0
acoustic,Chase Huglin,13.0,54.0
acoustic,Jake Morley,13.0,54.0
acoustic,Virtual Bird,12.5,55.0
acoustic,Kevin Devine,12.375,56.0
acoustic,Iamthemorning,11.5,57.0
