genre_name,Length_Sec,Avg_Length_Min
acoustic,228.69262295081967,3.81
alt-country,222.24584717607974,3.7
alternative,227.35211995863494,3.79
alternative rock,236.21442247917443,3.94
ambient,251.64154908435904,4.19
black metal,318.7708333333333,5.31
blues,229.2267678347935,3.82
britpop,229.32421875,3.82
chillout,239.84563758389262,4.0
chillwave,188.1504854368932,3.14
christian,263.9942528735632,4.4
classic rock,253.18313004638378,4.22
classical,220.22138939670933,3.67
cloud rap,175.03214142225792,2.92
comedy,197.2712,3.29
country,215.09904622157006,3.58
dance,230.56220506220507,3.84
dancehall,202.8353856124433,3.38
death metal,268.04269752593774,4.47
deathcore,236.76657060518733,3.95
disco,251.81239388794566,4.2
doom metal,371.2081589958159,6.19
dream pop,245.67418315692592,4.09
drum and bass,255.67449791587723,4.26
dub,258.4258536585366,4.31
dubstep,246.6266149870801,4.11
electro,225.87146226415095,3.76
electronic,244.02311492217356,4.07
electropop,216.9172537313433,3.62
emo,209.92045454545453,3.5
emo rap,160.66899360093078,2.68
experimental,247.76439051918737,4.13
folk,235.75538963607596,3.93
funk,244.8419470293486,4.08
garage rock,223.60424242424241,3.73
gospel,233.5193171608266,3.89
grime,205.5753768844221,3.43
grunge,238.33135215453194,3.97
hard rock,249.44718723761545,4.16
hardcore,201.6234309623431,3.36
heavy metal,270.4044738644145,4.51
hip hop,212.50239802142343,3.54
hip-hop,221.22208309618668,3.69
house,235.49778672032193,3.92
indie,236.63855794522667,3.94
indie pop,219.00753650494582,3.65
indie rock,232.90384784714274,3.88
industrial,271.27421619092183,4.52
j-pop,209.82830626450115,3.5
jazz,252.03347650328448,4.2
k-pop,197.4770390678547,3.29
latin,218.85089285714287,3.65
lo-fi,183.91480017566974,3.07
math rock,254.48306332842415,4.24
melodic death metal,290.9561457689932,4.85
metal,269.17274361278726,4.49
metalcore,234.794315129812,3.91
new wave,243.58062283737024,4.06
nu metal,237.68055555555554,3.96
pop,226.96036286626418,3.78
pop punk,197.16795665634675,3.29
pop rock,233.25583972341653,3.89
post-hardcore,228.20941929583904,3.8
post-punk,235.0868957809444,3.92
power metal,295.4758583690987,4.92
progressive metal,333.42874513618676,5.56
progressive rock,288.2110712863401,4.8
psychedelic,263.4953560371517,4.39
psychedelic rock,246.54328786791098,4.11
punk,194.97654808959157,3.25
punk rock,195.89024206886182,3.26
rap,208.0974996858902,3.47
reggae,235.3816856706242,3.92
reggaeton,215.97058823529412,3.6
rnb,230.4988698740717,3.84
rock,240.5931872552637,4.01
screamo,216.73863636363637,3.61
shoegaze,270.4721326577614,4.51
soul,233.99397665955578,3.9
soundtrack,209.0838562464347,3.48
swing,200.4974389876469,3.34
synthpop,238.65568959895663,3.98
techno,235.65287356321838,3.93
thrash metal,259.1141473538568,4.32
trance,238.9811937857727,3.98
trap,181.5604912464071,3.03
trip-hop,260.8996960486322,4.35
worship,309.14444444444445,5.15
