song,Artist(s),Tempo,Length
The Plumbing Song,"\Weird Al\"" Yankovic""",103.0,04:06
Beijing,$teven Cannon,117.0,03:16
Twisting the Lens,03 Greedo,101.0,03:12
Brimstone Rock,16 Horsepower,104.0,04:28
Halo Letter from My Unborn Son,"2 Chainz,Harmony,Heaven",110.0,03:25
More Than a Player,2nd II None,104.0,03:16
Whisper,303,102.0,03:03
Second Chance,38 Special,119.0,05:04
Dont Turn It Off,40 Thieves,117.0,04:38
Side Show,415,114.0,03:55
Basics of Life,4Him,119.0,05:13
OVO Sound Radio Episode 36 Tracklist,"4batz,Drake",102.0,03:51
Never Lie,"5 Star Marriot,Cassidy,Your Honor",100.0,03:41
Rent Free,6LACK,105.0,03:22
Know My Rights,"6LACK,Lil Baby",118.0,03:14
Maad City freestyle,"9 6ix,Cali",100.0,04:24
All Screwed Up,AC/DC,103.0,04:36
Shes Got The Jack,AC/DC,112.0,05:52
King of the Castle,ALMA,106.0,03:27
Big As The Sky,AM60,102.0,03:39
Bitch Betta Have My Money,AMG,104.0,03:15
I Went Too Far,AURORA,116.0,03:27
Its a Boy Thing,AZ,116.0,04:02
Now You Know,Ab-Soul,116.0,04:03
A Promise,"Abstract,RoZe",117.0,04:00
Carried Away,Ace Hood,118.0,04:54
Rolling Stoner,Adore Delano,116.0,03:26
She Wont Let Me Fuck,Afroman,100.0,06:01
I Wasn't The One,"Agnetha Fältskog,Peter Cetera",118.0,04:12
Build That Wall,Aimee Mann,109.0,04:24
Peaches And Cream,Air Supply,106.0,03:41
Letter to My Son,Akon,104.0,04:04
Legendary,Alaska Thunderfuck,113.0,03:38
Aliens,"Alaska Thunderfuck,Jeremy",117.0,03:59
Your World and My World,Albert Hammond,112.0,04:23
A Little Bit,"Alex Brightman,Drew Gasparini",105.0,04:08
String,Alex G,106.0,04:54
Alex Preston,Alex Preston,111.0,04:04
All The Time,"Ali Gatie,Kehlani",104.0,03:36
Renovate,"Allan Kingdom,DRAM",115.0,03:54
For A Million,Alphaville,103.0,06:10
Oh Yeah,American Supergroup 82,104.0,04:17
Take the Box,Amy Winehouse,116.0,03:20
Lockdown,Anderson .Paak,100.0,03:32
Just Gold,Andrew Gold,112.0,04:40
Shadow Dancing,Andy Gibb,103.0,04:31
Don't Give Up,Andy Grammer,113.0,03:16
...Lost,Andy Mineo,105.0,05:31
Binary,Ani DiFranco,109.0,04:22
Terry,Anika,102.0,05:07
Shouldve Cheated,Ann Marie,107.0,03:39
Section,"Ant Clemons,Kehlani",107.0,03:39
I Want You,Anthony Hamilton,105.0,04:24
The Second Arrangement,Anthony Robustelli,105.0,05:39
Woodchuck,Apache,103.0,04:22
Goodbye Is Forever,Arcadia,103.0,03:48
On God,Aromate,105.0,03:05
Middle Class,Aryan Sehgal,104.0,03:36
Mothers Daughter,Ashley Monroe,109.0,03:50
Last Meal,Asleep At The Wheel,113.0,03:37
Lark,Au Revoir Simone,106.0,04:19
Turned Away,Audio Bullys,109.0,04:20
Shame Shame Shame,Audio Idols,105.0,03:55
Rollin,"Austin Mahone,Becky G",115.0,03:58
Avalanche,Avalanche City,100.0,03:12
Echolalia,Avalanche City,100.0,03:12
Now You Got Someone,Avant,111.0,04:06
How Does It Feel,Avril Lavigne,118.0,03:44
Kill Me with Your Touch,Axel St. Patience,112.0,03:49
Rush Hour,Ayra Starr,100.0,03:05
Sweet Sixteen,B.B. King,112.0,04:20
Why I Sing the Blues,B.B. King,118.0,08:37
Say What You Mean,"BAYNK,Sinéad Harnett",117.0,03:25
All the Time,"BENEE,Muroki",113.0,03:08
Whip it,BIA,118.0,03:33
Ride for Me Remix,BIGZ,108.0,03:26
Tell Me,BROS,100.0,03:51
2 Girlfriends,"Baby Rich,DDG",109.0,03:55
PunchGod 3,BabyTron,114.0,03:22
